Prefix	Factor
WT_IgG_R1	0.520284897
WT_H3K4me3_R1	2.429385008
WT_H3K27me3_R1	17.86575146
WT_SMARCB1_R1	2.00287154
WT_SMARCA4_R1	2.511713718
WT_SMARCE1_R1	3.708826094
WT_IgG_R2	0.337232743
WT_H3K4me3_R2	2.511298643
WT_H3K27me3_R2	23.87240869
WT_SMARCB1_R2	2.019098819
WT_SMARCA4_R2	3.490809867
WT_SMARCE1_R2	4.06146745
W281P_IgG_R1	0.403253642
W281P_H3K4me3_R1	2.600089876
W281P_H3K27me3_R1	19.90194135
W281P_SMARCB1_R1	0.862294853
W281P_SMARCA4_R1	1.585701862
W281P_SMARCE1_R1	1.628127476
W281P_IgG_R2	0.338475351
W281P_H3K4me3_R2	2.486667177
W281P_H3K27me3_R2	18.26993016
W281P_SMARCB1_R2	0.824312345
W281P_SMARCA4_R2	2.256373507
W281P_SMARCE1_R2	1.625909028
W281X_IgG_R1	0.400951626
W281X_H3K4me3_R1	2.280306546
W281X_H3K27me3_R1	19.07066977
W281X_SMARCB1_R1	0.536350372
W281X_SMARCA4_R1	1.88370139
W281X_SMARCE1_R1	1.84611721
W281X_IgG_R2	0.283177452
W281X_H3K4me3_R2	2.915416588
W281X_H3K27me3_R2	28.70079119
W281X_SMARCB1_R2	0.591568232
W281X_SMARCA4_R2	2.304916336
W281X_SMARCE1_R2	2.112593424
I315I_IgG_R1	0.505907558
I315I_H3K4me3_R1	3.241933082
I315I_H3K27me3_R1	14.08438615
I315I_SMARCB1_R1	1.50193382
I315I_SMARCA4_R1	2.482547882
I315I_SMARCE1_R1	3.900447195
I315I_IgG_R2	0.612686656
I315I_H3K4me3_R2	4.633005735
I315I_H3K27me3_R2	32.00137575
I315I_SMARCB1_R2	3.316137059
I315I_SMARCA4_R2	3.95596601
I315I_SMARCE1_R2	7.115679044
I315R_IgG_R1	0.354351655
I315R_H3K4me3_R1	3.392590593
I315R_H3K27me3_R1	32.02694495
I315R_SMARCB1_R1	1.034782615
I315R_SMARCA4_R1	1.348799507
I315R_SMARCE1_R1	0.921420274
I315R_IgG_R2	1.115398409
I315R_H3K4me3_R2	4.479915813
I315R_H3K27me3_R2	31.47565569
I315R_SMARCB1_R2	2.404716861
I315R_SMARCA4_R2	3.449786274
I315R_SMARCE1_R2	2.443254216
I315X_IgG_R1	0.249502708
I315X_H3K4me3_R1	2.150636011
I315X_H3K27me3_R1	19.26176229
I315X_SMARCB1_R1	0.373499107
I315X_SMARCA4_R1	1.072849794
I315X_SMARCE1_R1	1.300870803
I315X_IgG_R2	0.630003921
I315X_H3K4me3_R2	4.27602886
I315X_H3K27me3_R2	30.74021654
I315X_SMARCB1_R2	1.102316424
I315X_SMARCA4_R2	3.389267131
I315X_SMARCE1_R2	3.184346469
